UC;UC12;;;
Ano;2009-2010;;;
Epoca;NM;;;
Data;10/2/2010;;;
;;;;
Numero;Freq. Ant. ;Freq. ;Exame ;Resultado 
1020015;--- ;NF ;  ;  
1020001;--- ;14;16;15
1020008;--- ;17;14;16
1020024;--- ;15;13;14
1020031;--- ;18;17;18
1020043;--- ;17;16;17
1020037;--- ;15;13;15
1020053;--- ;NF ;  ;  
1020020;--- ;NF ;  ;  
1020034;--- ;18;17;18
1020041;--- ;11;14;12
1020049;--- ;15;15;15
1020050;--- ;14;11;13
1030020;--- ;14;16;15
1030042;--- ;17;15;16
1030009;--- ;11;FT ;8
1030048;--- ;16;13;15
1040022;--- ;14;10;13
1040034;--- ;14;15;15
1040026;--- ;15;16;15
1040009;--- ;15;16;15
1040028;--- ;14;13;14
1040032;--- ;15;14;15
1040004;--- ;16;13;15
1040013;--- ;17;17;17
1040039;--- ;13;14;13
1040036;--- ;15;16;15
1050039;--- ;16;12;15
1050044;--- ;16;11;14
1050049;--- ;12;11;12
1050052;--- ;13;17;14
1050057;--- ;17;12;16
1050074;--- ;14;12;14
1050077;--- ;17;13;16
1050079;--- ;14;13;14
1050086;--- ;17;15;17
1050002;--- ;14;15;14
1050003;--- ;14;17;15
1050009;--- ;14;17;15
1050010;--- ;11;12;11
1050013;--- ;11;12;11
1050016;--- ;14;14;14
1050017;--- ;13;16;14
1050023;--- ;12;13;13
1050025;--- ;12;8;11
1050030;--- ;15;11;15
1050038;--- ;16;12;15
1050045;--- ;15;13;15
1050060;--- ;14;14;14
1050064;--- ;14;14;14
1050018;--- ;6;14;9
1050051;--- ;13;13;13
1050078;--- ;17;15;16
1050080;--- ;13;14;13
1050084;--- ;13;16;14
1050087;--- ;17;16;17
1050053;--- ;11;12;11
1050033;--- ;14;15;14
1060072;--- ;16;14;15
1060078;--- ;16;15;16
1060082;--- ;13;10;12
1060114;--- ;13;9;12
1060117;--- ;14;13;14
1060123;--- ;13;12;13
1060012;--- ;16;12;15
1060014;--- ;18;15;17
1060019;--- ;16;15;16
1060031;--- ;NF ;  ;  
1060054;--- ;16;17;16
1060062;--- ;15;17;15
1060079;--- ;16;16;16
1060096;--- ;13;15;14
1060105;--- ;14;12;14
1060113;--- ;15;16;15
1060115;--- ;16;11;14
1060116;--- ;14;13;14
1060121;--- ;17;13;16
1060127;--- ;NF ;  ;  
1060129;--- ;14;16;15
1060130;--- ;14;15;14
1060132;--- ;16;14;15
1060133;--- ;14;12;14
1060136;--- ;17;18;17
1060140;--- ;13;12;13
1060141;--- ;16;15;16
1060143;--- ;14;15;14
1060004;--- ;16;15;15
1060007;--- ;16;14;15
1060008;--- ;16;15;16
1060009;--- ;16;14;16
1060010;--- ;16;13;15
1060011;--- ;6;14;9
1060013;--- ;14;11;13
1060018;--- ;16;14;15
1060020;--- ;NF ;  ;  
1060025;--- ;NC ;11;11
1060030;--- ;14;9;13
1060034;--- ;14;13;14
1060045;--- ;17;11;15
1060059;--- ;17;15;16
1060060;--- ;14;17;15
1060066;--- ;13;17;14
1060069;--- ;15;16;16
1060074;--- ;15;14;15
1060108;--- ;14;15;14
1060110;--- ;15;14;15
1060111;--- ;14;16;15
1060024;--- ;18;17;18
1060035;--- ;14;11;13
1060038;--- ;17;11;15
1060050;--- ;17;16;16
1060053;--- ;15;16;15
1060063;--- ;15;15;15
1060065;--- ;15;14;14
1060070;--- ;16;16;16
1060075;--- ;14;13;14
1060077;--- ;14;11;13
1060087;--- ;14;12;13
1060092;--- ;15;15;15
1070136;--- ;15;16;15
1070165;--- ;14;18;15
1070167;--- ;18;12;16
1070175;--- ;16;14;15
1070177;--- ;16;16;16
1070002;--- ;NF ;  ;  
1070003;--- ;18;17;18
1070019;--- ;NF ;  ;  
1070023;--- ;17;10;15
1070037;--- ;14;17;15
1070043;--- ;13;10;13
1070063;--- ;14;16;14
1070083;--- ;13;14;13
1070090;--- ;15;13;15
1070092;--- ;15;13;15
1070100;--- ;13;13;13
1070106;--- ;15;15;15
1070107;--- ;15;16;15
1070112;--- ;15;14;15
1070116;--- ;15;17;16
1070122;--- ;18;18;18
1070131;--- ;15;18;15
1070132;--- ;15;17;16
1070134;--- ;16;13;15
1070142;--- ;15;9;13
1070147;--- ;13;10;12
1070150;--- ;15;14;15
1070154;--- ;15;16;15
1070171;--- ;15;12;14
1070008;--- ;13;12;13
1070024;--- ;15;14;15
1070034;--- ;15;13;14
1070039;--- ;NF ;  ;  
1070052;--- ;15;16;15
1070054;--- ;16;14;15
1070056;--- ;15;16;15
1070064;--- ;15;17;15
1070066;--- ;13;14;13
1070087;--- ;18;17;17
1070158;--- ;16;15;15
1070160;--- ;16;15;16
1070168;--- ;15;15;15
1070176;--- ;14;11;14
1070179;--- ;13;18;14
1070182;--- ;6;13;8
1070007;--- ;16;15;15
1070011;--- ;17;9;15
1070017;--- ;16;14;15
1070038;--- ;18;17;17
1070046;--- ;16;13;15
1070050;--- ;16;11;14
1070062;--- ;14;10;13
1070082;--- ;NF ;  ;  
1070109;--- ;17;13;16
1070114;--- ;14;12;14
1070118;--- ;15;14;15
1070127;--- ;15;16;15
1070129;--- ;15;15;15
1070130;--- ;16;16;16
1080181;--- ;14;13;14
1080192;--- ;14;14;14
1080201;--- ;15;15;15
1080204;--- ;17;16;17
1010002;--- ;18;17;18
1010004;--- ;14;12;14
1010013;--- ;12;FT ;8
1010020;--- ;18;18;18
1010026;--- ;17;18;17
1010029;--- ;NF ;  ;  
1010050;--- ;14;12;13
1010042;--- ;NC ;FT ;NC 
1010044;--- ;15;11;14
1010051;--- ;NF ;  ;  
1010074;--- ;15;16;15
1010077;--- ;15;10;14
1010073;--- ;NF ;  ;  
1010064;--- ;NF ;  ;  
1010075;--- ;15;13;14
1010093;--- ;NF ;  ;  
1010084;--- ;16;14;15
1010097;--- ;15;14;15
1010101;--- ;NF ;  ;  
