UC;UC13;;;
Ano;2009-2010;;;
Epoca;NM;;;
Data;23/6/2010;;;
;;;;
Numero;Freq. Ant. ;Freq. ;Exame ;Resultado 
1010004;--- ;14;14;14
1010013;--- ;14;14;14
1010014;--- ;NF ;  ;  
1010020;--- ;9;9;9
1010026;--- ;19;19;19
1010029;--- ;NF ;  ;  
1010044;--- ;13;13;13
1010047;--- ;NF ;  ;  
1010050;--- ;15;15;15
1010051;--- ;NC ;FT ;NC 
1010057;--- ;18;18;18
1010064;--- ;NF ;  ;  
1010073;--- ;NF ;  ;  
1010074;--- ;12;12;12
1010075;--- ;15;15;15
1010077;--- ;11;11;11
1010083;--- ;13;13;13
1010084;--- ;13;13;13
1010091;--- ;14;14;14
1010097;--- ;16;16;16
1010098;--- ;13;13;13
1010101;--- ;4;4;4
1020001;--- ;13;13;13
1020008;--- ;11;11;11
1020020;--- ;4;4;4
1020024;--- ;11;11;11
1020028;--- ;15;15;15
1020031;--- ;14;14;14
1020034;--- ;13;13;13
1020039;--- ;10;10;10
1020041;--- ;11;11;11
1020042;--- ;11;11;11
1020043;--- ;14;14;14
1020049;--- ;18;18;18
1020053;--- ;NF ;  ;  
1030005;--- ;7;7;7
1030008;--- ;15;15;15
1030009;--- ;NC ;FT ;NC 
1030017;--- ;11;11;11
1030042;--- ;18;18;18
1030048;--- ;11;11;11
1040004;--- ;10;10;10
1040013;--- ;13;13;13
1040016;--- ;16;16;16
1040022;--- ;14;14;14
1040025;--- ;16;16;16
1040026;--- ;15;15;15
1040028;--- ;12;12;12
1040032;--- ;12;12;12
1040034;--- ;12;12;12
1040035;--- ;10;10;10
1040038;--- ;11;11;11
1040039;--- ;13;13;13
1040054;--- ;13;13;13
1050002;--- ;12;12;12
1050003;--- ;11;11;11
1050009;--- ;11;11;11
1050013;--- ;12;12;12
1050016;--- ;10;10;10
1050017;--- ;12;12;12
1050018;--- ;7;7;7
1050021;--- ;14;14;14
1050023;--- ;12;12;12
1050025;--- ;15;15;15
1050030;--- ;15;15;15
1050031;--- ;13;13;13
1050035;--- ;13;13;13
1050038;--- ;12;12;12
1050039;--- ;15;15;15
1050040;--- ;11;11;11
1050041;--- ;11;11;11
1050043;--- ;14;14;14
1050044;--- ;11;11;11
1050045;--- ;11;11;11
1050049;--- ;10;10;10
1050051;--- ;8;8;8
1050052;--- ;5;5;5
1050053;--- ;11;11;11
1050056;--- ;10;10;10
1050057;--- ;12;12;12
1050060;--- ;13;13;13
1050062;--- ;13;13;13
1050064;--- ;17;17;17
1050067;--- ;12;12;12
1050074;--- ;13;13;13
1050077;--- ;17;17;17
1050078;--- ;10;10;10
1050079;--- ;11;11;11
1050080;--- ;10;10;10
1050084;--- ;12;12;12
1050086;--- ;11;11;11
1050087;--- ;11;11;11
1060003;--- ;14;14;14
1060004;--- ;15;15;15
1060008;--- ;16;16;16
1060010;--- ;5;5;5
1060011;--- ;17;17;17
1060012;--- ;7;7;7
1060014;--- ;13;13;13
1060019;--- ;6;6;6
1060020;--- ;NF ;  ;  
1060024;--- ;16;16;16
1060025;--- ;9;9;9
1060030;--- ;7;7;7
1060035;--- ;11;11;11
1060038;--- ;20;20;20
1060039;--- ;11;11;11
1060045;--- ;13;13;13
1060047;--- ;16;16;16
1060048;--- ;3;3;3
1060049;--- ;12;12;12
1060050;--- ;18;18;18
1060053;--- ;12;12;12
1060054;--- ;15;15;15
1060059;--- ;13;13;13
1060062;--- ;14;14;14
1060063;--- ;10;10;10
1060065;--- ;15;15;15
1060066;--- ;10;10;10
1060069;--- ;16;16;16
1060070;--- ;14;14;14
1060072;--- ;12;12;12
1060074;--- ;16;16;16
1060075;--- ;11;11;11
1060078;--- ;12;12;12
1060079;--- ;10;10;10
1060082;--- ;12;12;12
1060084;--- ;17;17;17
1060092;--- ;11;11;11
1060096;--- ;12;12;12
1060100;--- ;14;14;14
1060102;--- ;15;15;15
1060105;--- ;12;12;12
1060108;--- ;14;14;14
1060110;--- ;18;18;18
1060113;--- ;17;17;17
1060114;--- ;8;8;8
1060115;--- ;12;12;12
1060116;--- ;10;10;10
1060117;--- ;10;10;10
1060121;--- ;12;12;12
1060123;--- ;11;11;11
1060129;--- ;16;16;16
1060132;--- ;10;10;10
1060136;--- ;12;12;12
1060138;--- ;11;11;11
1060140;--- ;15;15;15
1060143;--- ;12;12;12
1060144;--- ;14;14;14
1070002;--- ;5;5;5
1070003;--- ;18;18;18
1070007;--- ;13;13;13
1070008;--- ;10;10;10
1070017;--- ;17;17;17
1070019;--- ;NC ;FT ;NC 
1070023;--- ;6;6;6
1070024;--- ;15;15;15
1070028;--- ;11;11;11
1070034;--- ;13;13;13
1070037;--- ;12;12;12
1070038;--- ;13;13;13
1070041;--- ;11;11;11
1070043;--- ;10;10;10
1070046;--- ;14;14;14
1070050;--- ;11;11;11
1070052;--- ;13;13;13
1070054;--- ;12;12;12
1070055;--- ;14;14;14
1070056;--- ;17;17;17
1070064;--- ;10;10;10
1070066;--- ;11;11;11
1070082;--- ;10;10;10
1070083;--- ;11;11;11
1070087;--- ;13;13;13
1070090;--- ;15;15;15
1070092;--- ;12;12;12
1070100;--- ;12;12;12
1070106;--- ;19;19;19
1070107;--- ;16;16;16
1070112;--- ;13;13;13
1070114;--- ;10;10;10
1070116;--- ;NC ;FT ;NC 
1070118;--- ;11;11;11
1070122;--- ;16;16;16
1070127;--- ;15;15;15
1070129;--- ;18;18;18
1070130;--- ;13;13;13
1070131;--- ;10;10;10
1070132;--- ;19;19;19
1070134;--- ;12;12;12
1070142;--- ;8;8;8
1070147;--- ;10;10;10
1070150;--- ;9;9;9
1070158;--- ;18;18;18
1070160;--- ;11;11;11
1070165;--- ;19;19;19
1070167;--- ;7;7;7
1070168;--- ;13;13;13
1070171;--- ;14;14;14
1070175;--- ;18;18;18
1070176;--- ;10;10;10
1070177;--- ;11;11;11
1070182;--- ;11;11;11
1080181;--- ;10;10;10
1080192;--- ;11;11;11
1080201;--- ;NC ;FT ;NC 
1080204;--- ;11;11;11
