UC;UC09;;;
Ano;2009-2010;;;
Epoca;NM;;;
Data;7/7/2010;;;
;;;;
Numero;Freq. Ant. ;Freq. ;Exame ;Resultado 
1010003;--- ;16;9;13
1010008;--- ;17;8;13
1010011;--- ;NC ;FT ;NC 
1010023;--- ;12;7;10
1010034;--- ;16;12;14
1010037;--- ;NF ;  ;  
1010048;--- ;NC ;FT ;NC 
1010079;--- ;NC ;FT ;NC 
1010081;--- ;11;13;12
1010082;--- ;NC ;FT ;NC 
1010096;--- ;NC ;FT ;NC 
1010102;--- ;12;8;10
1010103;--- ;13;10;12
1010104;--- ;12;7;10
1010105;--- ;11;9;10
1010111;--- ;12;11;12
1020017;--- ;14;12;13
1020023;--- ;NC ;FT ;NC 
1020025;--- ;NC ;5;SM 
1020026;--- ;10;FT ;NC 
1020037;12;12;1;SM 
1020038;--- ;2;FT ;SM 
1020055;--- ;10;9;10
1030006;--- ;7;FT ;SM 
1030012;--- ;14;7;11
1030016;--- ;14;9;12
1030027;--- ;NC ;FT ;NC 
1030033;--- ;14;13;14
1030034;--- ;13;FT ;NC 
1030039;--- ;3;FT ;SM 
1030043;--- ;NC ;FT ;NC 
1030047;--- ;13;7;10
1040001;--- ;11;10;11
1040002;--- ;14;11;13
1040023;12;12;2;SM 
1040024;--- ;NC ;FT ;NC 
1040043;--- ;16;12;14
1040046;--- ;NC ;FT ;NC 
1040057;--- ;9;7;8
1050004;--- ;14;FT ;NC 
1050006;--- ;NC ;FT ;NC 
1050007;--- ;NC ;FT ;NC 
1050024;--- ;14;10;12
1050032;--- ;13;7;10
1050034;--- ;13;10;12
1050036;--- ;12;9;11
1050037;--- ;12;8;10
1050050;--- ;15;7;11
1050058;--- ;10;FT ;NC 
1050061;--- ;NC ;FT ;NC 
1050069;--- ;16;14;15
1050088;--- ;NC ;FT ;NC 
1060007;--- ;12;7;10
1060017;--- ;5;FT ;SM 
1060023;--- ;NC ;FT ;NC 
1060026;--- ;10;9;10
1060028;--- ;2;FT ;SM 
1060029;--- ;4;FT ;SM 
1060032;--- ;10;FT ;NC 
1060036;--- ;11;6;SM 
1060040;--- ;5;FT ;SM 
1060041;--- ;13;15;14
1060056;--- ;10;9;10
1060057;--- ;7;FT ;SM 
1060061;--- ;10;3;SM 
1060064;10;10;5;SM 
1060067;--- ;4;FT ;SM 
1060070;--- ;12;14;13
1060073;--- ;9;4;SM 
1060080;--- ;11;8;10
1060081;--- ;11;8;10
1060085;--- ;7;FT ;SM 
1060086;--- ;8;FT ;NC 
1060088;--- ;7;FT ;SM 
1060095;11;11;FT ;NC 
1060097;--- ;10;3;SM 
1060098;--- ;10;FT ;NC 
1060101;--- ;NC ;FT ;NC 
1060104;--- ;11;11;11
1060109;--- ;14;FT ;NC 
1060120;--- ;12;10;11
1060122;--- ;13;FT ;NC 
1060124;11;11;5;SM 
1060134;--- ;13;13;13
1060139;--- ;7;FT ;SM 
1070005;--- ;15;12;14
1070014;10;10;5;SM 
1070016;--- ;NC ;FT ;NC 
1070021;--- ;12;7;10
1070025;--- ;13;4;SM 
1070027;--- ;14;12;13
1070029;--- ;10;6;SM 
1070032;--- ;11;10;11
1070033;--- ;13;7;10
1070035;--- ;14;13;14
1070036;--- ;13;5;SM 
1070042;--- ;13;10;12
1070044;--- ;10;10;10
1070045;--- ;NC ;FT ;NC 
1070048;--- ;10;3;SM 
1070053;--- ;NC ;FT ;NC 
1070060;--- ;8;FT ;NC 
1070068;--- ;12;9;11
1070069;--- ;NC ;FT ;NC 
1070071;--- ;9;5;SM 
1070073;--- ;15;3;SM 
1070074;--- ;14;17;15
1070075;--- ;4;FT ;SM 
1070077;--- ;8;9;8
1070079;--- ;3;FT ;SM 
1070080;--- ;9;5;SM 
1070081;--- ;10;4;SM 
1070084;--- ;2;FT ;SM 
1070085;--- ;6;FT ;SM 
1070086;--- ;14;8;11
1070091;--- ;13;9;11
1070095;--- ;15;7;11
1070098;--- ;10;FT ;NC 
1070099;--- ;13;14;13
1070102;--- ;14;10;12
1070103;--- ;14;4;SM 
1070104;--- ;10;6;SM 
1070110;--- ;16;15;16
1070111;--- ;2;FT ;SM 
1070113;--- ;11;13;12
1070117;--- ;10;6;SM 
1070119;--- ;11;8;10
1070120;--- ;10;10;10
1070121;--- ;9;7;8
1070123;--- ;6;FT ;SM 
1070125;10;12;8;10
1070126;--- ;16;13;15
1070135;--- ;14;5;SM 
1070137;--- ;NC ;1;NC 
1070141;--- ;7;4;SM 
1070143;--- ;9;12;10
1070146;--- ;NC ;FT ;NC 
1070148;--- ;13;10;12
1070149;--- ;14;9;12
1070155;--- ;12;7;10
1070157;--- ;NC ;FT ;NC 
1070161;--- ;10;12;11
1070162;--- ;12;FT ;NC 
1070163;--- ;12;11;12
1070178;--- ;NC ;FT ;NC 
1080003;--- ;6;FT ;SM 
1080008;--- ;14;7;11
1080009;--- ;NC ;FT ;NC 
1080010;--- ;10;9;10
1080011;--- ;17;13;15
1080013;--- ;18;16;17
1080014;--- ;14;12;13
1080016;--- ;14;11;13
1080017;--- ;10;9;10
1080019;--- ;13;13;13
1080021;--- ;NC ;FT ;NC 
1080022;--- ;NC ;FT ;NC 
1080023;--- ;15;11;13
1080024;--- ;14;11;13
1080025;--- ;11;5;SM 
1080026;--- ;19;17;18
1080028;--- ;15;11;13
1080029;--- ;14;1;SM 
1080030;--- ;12;12;12
1080032;--- ;11;11;11
1080033;--- ;8;4;SM 
1080036;--- ;14;14;14
1080037;--- ;NC ;FT ;NC 
1080041;--- ;10;9;10
1080042;--- ;15;10;13
1080043;--- ;10;5;SM 
1080044;--- ;16;11;14
1080045;--- ;12;4;SM 
1080046;--- ;4;FT ;SM 
1080047;--- ;16;11;14
1080048;--- ;13;10;12
1080050;--- ;12;11;12
1080051;--- ;9;FT ;NC 
1080052;--- ;13;12;13
1080053;--- ;10;12;11
1080054;--- ;16;11;14
1080055;--- ;14;11;13
1080057;--- ;16;10;13
1080058;--- ;12;4;SM 
1080059;--- ;14;16;15
1080060;--- ;17;18;17
1080061;--- ;11;10;11
1080064;--- ;15;13;14
1080067;--- ;14;10;12
1080068;--- ;18;10;14
1080069;--- ;9;7;8
1080070;--- ;14;4;SM 
1080071;--- ;13;8;11
1080072;--- ;14;14;14
1080073;--- ;17;10;14
1080076;--- ;14;9;12
1080078;--- ;14;12;13
1080079;--- ;14;11;13
1080080;--- ;14;12;13
1080082;--- ;8;6;SM 
1080083;--- ;14;13;14
1080084;--- ;14;7;11
1080085;--- ;14;9;12
1080086;--- ;13;10;12
1080088;--- ;13;10;12
1080089;--- ;17;17;17
1080090;--- ;16;15;16
1080091;--- ;10;9;10
1080092;--- ;12;7;10
1080093;--- ;12;11;12
1080094;--- ;11;10;11
1080096;--- ;13;9;11
1080097;--- ;16;7;12
1080098;--- ;12;7;10
1080100;--- ;14;7;11
1080101;--- ;16;13;15
1080102;--- ;15;7;11
1080103;--- ;14;7;11
1080106;--- ;11;9;10
1080107;--- ;15;8;12
1080108;--- ;13;11;12
1080109;--- ;14;7;11
1080110;--- ;12;7;10
1080112;--- ;13;10;12
1080115;--- ;15;7;11
1080117;--- ;14;7;11
1080118;--- ;8;8;8
1080121;--- ;13;8;11
